serie;set;appAfkorting;huidigeMapping;rang;candidateExpansionId;score;overlap;appUniekeNamen;cmUniekeNamen;cmProducten;cardmarketSetcode;cardmarketSetnaam;sampleOverlap;sampleAlleenApp;sampleAlleenCardmarket;advies
Mega Evolution;Perfect Order;POR;6443;3;6519;0.1362;10;92;51;58;;;energy recycler, forest of vitality, jacinthe, lumiose city, naveen, poke pad, rosa s encouragement, sacred ash, tarragon, wondrous patch;aegislash, amaura, antique jaw fossil, antique sail fossil, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, core memory, crushing hammer;aurorus tundra wall freezing chill, banette cursed words spooky shot, boss s orders corbeau, carbink double type counter jewel, clefairy follow me flop, decidueye ex sniper s eye crushing arrow, dedenne tail generator thunder shock, doublade weaponized swords, drapion wrack down hazardous tail, erika s tangela gathering of blossoms bind, espurr nap stampede, hitmontop spin and draw low kick, larry s staraptor facade feathery strike, lillie s clefairy ex fairy zone full moon rondo;zwak/alternatief
Mega Evolution;Perfect Order;POR;6443;4;4518;0.0929;5;92;25;25;;;energy search, judge, poke ball, pokemon catcher, potion;aegislash, amaura, antique jaw fossil, antique sail fossil, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, core memory, crushing hammer;barry, boltund corner defiant spark, boss s orders cyrus, dubwool overhead throw rolling dash, eevee v tackle vee brave, emolga thunder shock, furfrou find a friend fur attack, great ball, hawlucha showboating pose cross cut, kangaskhan pound coordinated one two punch, lightning energy, pikachu v pika drive, professor s research professor rowan, shauna;zwak/alternatief
Mega Evolution;Perfect Order;POR;6443;5;5218;0.0772;4;92;23;26;;;energy search, judge, pokemon catcher, potion;aegislash, amaura, antique jaw fossil, antique sail fossil, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, core memory, crushing hammer;breloom mach cross, energy switch, floragato slash leaf step, lechonk collect tackle, lucario ex low sweep aura sphere, meowscarada trick cape flower blast, nemona, nest ball, pokegear 3 0, professor s research professor sada, riolu jab low kick, shroomish absorb sv, sprigatito scratch leafage, stonjourner exoskeleton mega kick;zwak/alternatief
Mega Evolution;Perfect Order;POR;6443;6;5220;0.0772;4;92;23;26;;;crushing hammer, energy search, judge, pokemon catcher;aegislash, amaura, antique jaw fossil, antique sail fossil, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, core memory, dartrix;alomomola surf aqua slash, cyclizar reckless charge, dedenne second bite, energy retrieval, flittle ram, lechonk collect tackle, mimikyu ex void return energy burst, nemona, nest ball, pokegear 3 0, professor s research professor sada, quaquaval energy carnival hydro kick, quaxly pound kick, quaxwell rain splash spiral kick;zwak/alternatief
Mega Evolution;Perfect Order;POR;6443;7;6382;0.0772;4;92;23;23;;;judge, poke pad, pokemon catcher, potion;aegislash, amaura, antique jaw fossil, antique sail fossil, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, core memory, crushing hammer;bellibolt thunder shock electric ball, boltund electrifying dash, durant crunch, emolga call for family static shock sv, floragato magical leaf, influencer s introduction, iris s fighting spirit, lillie s determination, meowscarada showtime rising bloom, pikachu ex volt tackle, snorlax spike draw mega punch, sprigatito tons of treading, switch, tadbulb tackle electro ball;zwak/alternatief
Mega Evolution;Perfect Order;POR;6443;8;4292;0.073;3;92;14;14;;;energy search, poke ball, potion;aegislash, amaura, antique jaw fossil, antique sail fossil, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, core memory, crushing hammer;arcanine lv 32 overrun combustion, bibarel lv 20 rolling tackle tail rap, bidoof lv 12 whimsy tackle, buizel lv 7 tackle wave splash, combee lv 4 nap zzzt, floatzel lv 27 razor fin jet screw, growlithe lv 15 smash kick fireworks, pachirisu lv 14 tail slap pachi, switch, turtwig lv 8 shell attack stomp, zapdos lv 40 drill peck lightning wind;zwak/alternatief
Mega Evolution;Ascended Heroes;ASC;;1;6395;0.1647;37;224;225;296;;;acerola s mischief, air balloon, anthea and concordia, black belt s training, buddy buddy poffin, canari, cheren, counter gain, fighting gong, forest of vitality, glass trumpet, iris s fighting spirit, jamming tower, light ball, lillie s determination, mega signal, mystery garden, n s pp up;azumarill ex, banette, bayleef, beautifly, bisharp, boss s orders, budew, camerupt, carbink, carkol, cascoon, charjabug, charmander, charmeleon;azumarill ex gathering bubbles energy balloon, banette cursed words spooky shot, bayleef leaf step, beautifly stun spore energy straw, bisharp rapid draw, boss s orders corbeau, budew itchy pollen, camerupt burnt roast power stomp, carbink double type counter jewel, carkol guard press power gem, cascoon trading places, charjabug parallel placement, charmander fire claws, charmeleon heat blast;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist
Mega Evolution;Ascended Heroes;ASC;;2;6380;0.1485;32;224;201;250;;;acerola s mischief, air balloon, anthea and concordia, black belt s training, buddy buddy poffin, canari, counter gain, fighting gong, forest of vitality, glass trumpet, iris s fighting spirit, jamming tower, light ball, lillie s determination, mega signal, mystery garden, n s pp up, night stretcher;azumarill ex, banette, bayleef, beautifly, bisharp, boss s orders, budew, camerupt, carbink, carkol, cascoon, charjabug, charmander, charmeleon;archaludon ex assemble alloy metal defender, area zero underdepths, beautifly stun spore energy straw, bisharp rapid draw, bouffalant curly wall boundless power, brave bangle, budew itchy pollen, bug catching set, camerupt burnt roast power stomp, carkol guard press power gem, cascoon trading places, ceruledge ex abyssal flames raging amethyst, charcadet will o wisp, chien pao snow sink icicle loop;zwak/alternatief
Mega Evolution;Ascended Heroes;ASC;;3;6425;0.1021;16;224;91;119;;;air balloon, fighting gong, forest of vitality, lillie s determination, mega signal, mystery garden, n s pp up, premium power pro, team rocket s archer, team rocket s ariana, team rocket s energy, team rocket s factory, team rocket s giovanni, team rocket s petrel, team rocket s proton, team rocket s transceiver;acerola s mischief, anthea and concordia, azumarill ex, banette, bayleef, beautifly, bisharp, black belt s training, boss s orders, buddy buddy poffin, budew, camerupt, canari, carbink;archaludon metal bridge iron blaster, arven s mabosstiff ex vigorous tackle boss headbutt, basic darkness energy, basic fighting energy, basic fire energy, basic grass energy, basic lightning energy, basic metal energy, basic psychic energy, basic water energy, boss s orders ghetsis, brilliant blender, budew itchy pollen, cinderace explosiveness turbo flare;zwak/alternatief
Mega Evolution;Ascended Heroes;ASC;;4;6260;0.0985;8;224;22;23;;;air balloon, buddy buddy poffin, iris s fighting spirit, lillie s determination, mega signal, mystery garden, night stretcher, ultra ball;acerola s mischief, anthea and concordia, azumarill ex, banette, bayleef, beautifly, bisharp, black belt s training, boss s orders, budew, camerupt, canari, carbink, carkol;alcremie sweet circle, basic psychic energy, boss s orders ghetsis, cresselia swelling light aurora beam, granbull bite finishing blow, hero s cape, mega diancie ex diamond coat garland ray, meloetta soothing melody magical shot, milcery draining kiss, mimikyu call for family scratch, snubbull tackle, switch, tatsugiri attract customers surf, wondrous patch;zwak/alternatief
Mega Evolution;Ascended Heroes;ASC;;5;6259;0.0862;7;224;22;23;;;air balloon, buddy buddy poffin, iris s fighting spirit, lillie s determination, mega signal, night stretcher, ultra ball;acerola s mischief, anthea and concordia, azumarill ex, banette, bayleef, beautifly, bisharp, black belt s training, boss s orders, budew, camerupt, canari, carbink, carkol;absol allure dark cutter, basic darkness energy, boss s orders ghetsis, eternatus shatter power rush, gastly petty grudge, haunter spooky shot, honchkrow wind of darkness sniping feathers, mega gengar ex shadowy concealment void gale, murkrow ambush, prime catcher, punk helmet, rare candy, sableye cocky claw, switch;zwak/alternatief
Mega Evolution;Ascended Heroes;ASC;;6;5834;0.0783;11;224;71;80;;;air balloon, buddy buddy poffin, counter gain, glass trumpet, iris s fighting spirit, lillie s determination, mega signal, night stretcher, poke pad, tool scrapper, ultra ball;acerola s mischief, anthea and concordia, azumarill ex, banette, bayleef, beautifly, bisharp, black belt s training, boss s orders, budew, camerupt, canari, carbink, carkol;area zero underdepths, artazon, arven, baxcalibur super cold buster tail, beach court, bloodmoon ursaluna ex seasoned skill blood moon, bravery charm, budew itchy pollen, bug catching set, celebratory fanfare, colress s tenacity, crispin, dawn, dusclops cursed blast will o wisp;zwak/alternatief
Mega Evolution;Ascended Heroes;ASC;;7;6394;0.0781;9;224;46;58;;;acerola s mischief, air balloon, buddy buddy poffin, fighting gong, lillie s determination, mega signal, mystery garden, night stretcher, premium power pro;anthea and concordia, azumarill ex, banette, bayleef, beautifly, bisharp, black belt s training, boss s orders, budew, camerupt, canari, carbink, carkol, cascoon;alakazam psychic draw powerful hand, bulbasaur bind down, clawitzer fall back to reload aqua launcher, delibird quick gift gentle slap, exeggutor guard press stomping wood, garganacl powerful a salt hammer in, gumshoos evidence gathering bite, helioptile double scratch, houndstone horrifying bite hammer in, inteleon bring down water shot, ivysaur razor leaf, litleo flare, lt surge s bargain, marshadow shadowy side kick;zwak/alternatief
Mega Evolution;Ascended Heroes;ASC;;8;6239;0.0744;9;224;51;51;;;air balloon, buddy buddy poffin, counter gain, lillie s determination, mega signal, night stretcher, prism energy, tool scrapper, ultra ball;acerola s mischief, anthea and concordia, azumarill ex, banette, bayleef, beautifly, bisharp, black belt s training, boss s orders, budew, camerupt, canari, carbink, carkol;arven, basic darkness energy, basic fighting energy, basic fire energy, basic grass energy, basic lightning energy, basic metal energy, basic psychic energy, basic water energy, boss s orders ghetsis, bravery charm, bug catching set, counter catcher, earthen vessel;zwak/alternatief
Mega Evolution;Phantasmal Flames;PFL;;1;6417;0.1425;9;98;33;40;;;battle cage, blowtorch, dawn, firebreather, grimsley s move, ignition energy, punk helmet, sacred charm, switch;absol, aipom, alcremie, ambipom, archaludon, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha, ceruledge, charcadet;ambipom slap dual tail, charcadet gather strength chop, dewgong thick fat slam, empoleon ex emperor s stance iron feathers, flygon sandy flapping cutting wind, haunter spooky shot, ludicolo excited heal lunge out, mega charizard x ex inferno x, mega heracross ex juggernaut horn mountain ramming, mega lopunny ex gale thrust spiky hopper, mega sharpedo ex greedy fang hungry jaws, meloetta soothing melody magical shot, meowth fury swipes, mismagius ex swirling prose hexa magic;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist
Mega Evolution;Phantasmal Flames;PFL;;2;6299;0.1224;12;98;98;130;;;battle cage, blowtorch, dawn, dizzying valley, firebreather, grimsley s move, ignition energy, jumbo ice cream, punk helmet, sacred charm, switch, wondrous patch;absol, aipom, alcremie, ambipom, archaludon, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha, ceruledge, charcadet;absol allure dark cutter, aipom astonish, alcremie sweet circle, ambipom slap dual tail, archaludon coated attack, boltund electric run, brambleghast prison panic psychic sphere, bramblin sneaky placement, bronzong triple draw tool drop, bronzor iron defense rollout, buneary run around kick, carvanha reckless charge, ceruledge infernal slash, charcadet gather strength chop;zwak/alternatief
Mega Evolution;Phantasmal Flames;PFL;;3;6291;0.1192;11;98;83;116;;;battle cage, blowtorch, dawn, dizzying valley, firebreather, grimsley s move, ignition energy, jumbo ice cream, punk helmet, sacred charm, switch;absol, aipom, alcremie, ambipom, archaludon, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha, ceruledge, charcadet;aipom astonish, ambipom slap dual tail, archaludon coated attack, boltund electric run, brambleghast prison panic psychic sphere, bramblin sneaky placement, bronzong triple draw tool drop, bronzor iron defense rollout, buneary run around kick, carvanha reckless charge, ceruledge infernal slash, charcadet gather strength chop, charmander agile live coal, charmeleon steady firebreathing;zwak/alternatief
Mega Evolution;Phantasmal Flames;PFL;;4;6616;0.0875;8;98;81;109;;;battle cage, blowtorch, dawn, firebreather, grimsley s move, ignition energy, punk helmet, wondrous patch;absol, aipom, alcremie, ambipom, archaludon, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha, ceruledge, charcadet;acerola s mischief, basic darkness energy, basic fighting energy, basic fire energy, basic grass energy, basic lightning energy, basic metal energy, basic psychic energy, basic water energy, boss s orders corbeau, brave bangle, brock s scouting, canari, charmander agile live coal;zwak/alternatief
Mega Evolution;Phantasmal Flames;PFL;;5;6392;0.0549;5;98;80;85;;;battle cage, dawn, firebreather, grimsley s move, wondrous patch;absol, aipom, alcremie, ambipom, archaludon, blowtorch, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha, ceruledge;air balloon, azumarill ex bubble gathering energized balloon, binacle double draw scratch, buddy buddy poffin, budew itchy pollen, bug catching set, buneary run around kick, carvanha reckless charge, celebratory fanfare, charmander agile live coal, charmander fire claws, charmeleon steady firebreathing, chikorita razor leaf, clefairy follow me flop;zwak/alternatief
Mega Evolution;Phantasmal Flames;PFL;;6;6393;0.0518;5;98;94;102;;;battle cage, dawn, firebreather, grimsley s move, wondrous patch;absol, aipom, alcremie, ambipom, archaludon, blowtorch, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha, ceruledge;abra teleportation attack, air balloon, azumarill ex bubble gathering energized balloon, barbaracle stone arms hammer in, binacle double draw scratch, buddy buddy poffin, budew itchy pollen, bug catching set, bulbasaur bind down, carvanha reckless charge, celebi traverse time solar cutter, celebratory fanfare, ceruledge infernal slash, charcadet flare;zwak/alternatief
Mega Evolution;Phantasmal Flames;PFL;;7;6260;0.0381;2;98;22;23;;;switch, wondrous patch;absol, aipom, alcremie, ambipom, archaludon, battle cage, blowtorch, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha;air balloon, alcremie sweet circle, basic psychic energy, boss s orders ghetsis, buddy buddy poffin, cresselia swelling light aurora beam, granbull bite finishing blow, hero s cape, iris s fighting spirit, lillie s determination, mega diancie ex diamond coat garland ray, mega signal, meloetta soothing melody magical shot, milcery draining kiss;zwak/alternatief
Mega Evolution;Phantasmal Flames;PFL;;8;6259;0.0381;2;98;22;23;;;punk helmet, switch;absol, aipom, alcremie, ambipom, archaludon, battle cage, blowtorch, boltund, brambleghast, bramblin, bronzong, bronzor, buneary, carvanha;absol allure dark cutter, air balloon, basic darkness energy, boss s orders ghetsis, buddy buddy poffin, eternatus shatter power rush, gastly petty grudge, haunter spooky shot, honchkrow wind of darkness sniping feathers, iris s fighting spirit, lillie s determination, mega gengar ex shadowy concealment void gale, mega signal, murkrow ambush;zwak/alternatief
Mega Evolution;Mega Evolution;MEG;;1;6209;0.163;22;135;135;188;;;acerola s mischief, air balloon, buddy buddy poffin, energy switch, fighting gong, forest of vitality, iron defender, lillie s determination, lt surge s bargain, mega signal, mystery garden, night stretcher, pokemon center lady, premium power pro, rare candy, repel, risky ruins, strange timepiece;abra, alakazam, bayleef, bewear, boss s orders, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace, clauncher, clawitzer;abra teleportation attack, alakazam psychic draw powerful hand, bayleef push down, bewear knuckle punch hyper lariat, boss s orders ghetsis, bulbasaur bind down, buneary charm skip, celebi traverse time solar cutter, centiskorch coiling crush heat crawler, chi yu scorching earth, chikorita razor leaf, cinderace explosiveness turbo flare, clauncher wave splash, clawitzer fall back to reload aqua launcher;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist
Mega Evolution;Mega Evolution;MEG;;2;6394;0.1372;12;135;46;58;;;acerola s mischief, air balloon, buddy buddy poffin, fighting gong, lillie s determination, lt surge s bargain, mega signal, mystery garden, night stretcher, premium power pro, rare candy, wally s compassion;abra, alakazam, bayleef, bewear, boss s orders, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace, clauncher, clawitzer;alakazam psychic draw powerful hand, bulbasaur bind down, clawitzer fall back to reload aqua launcher, delibird quick gift gentle slap, exeggutor guard press stomping wood, garganacl powerful a salt hammer in, gumshoos evidence gathering bite, helioptile double scratch, houndstone horrifying bite hammer in, inteleon bring down water shot, ivysaur razor leaf, litleo flare, marshadow shadowy side kick, mega abomasnow ex hammer lanche frost barrier;zwak/alternatief
Mega Evolution;Mega Evolution;MEG;;3;6260;0.1284;8;135;22;23;;;air balloon, buddy buddy poffin, lillie s determination, mega signal, mystery garden, night stretcher, switch, ultra ball;abra, acerola s mischief, alakazam, bayleef, bewear, boss s orders, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace, clauncher;alcremie sweet circle, basic psychic energy, boss s orders ghetsis, cresselia swelling light aurora beam, granbull bite finishing blow, hero s cape, iris s fighting spirit, mega diancie ex diamond coat garland ray, meloetta soothing melody magical shot, milcery draining kiss, mimikyu call for family scratch, snubbull tackle, tatsugiri attract customers surf, wondrous patch;zwak/alternatief
Mega Evolution;Mega Evolution;MEG;;4;6259;0.1284;8;135;22;23;;;air balloon, buddy buddy poffin, lillie s determination, mega signal, night stretcher, rare candy, switch, ultra ball;abra, acerola s mischief, alakazam, bayleef, bewear, boss s orders, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace, clauncher;absol allure dark cutter, basic darkness energy, boss s orders ghetsis, eternatus shatter power rush, gastly petty grudge, haunter spooky shot, honchkrow wind of darkness sniping feathers, iris s fighting spirit, mega gengar ex shadowy concealment void gale, murkrow ambush, prime catcher, punk helmet, sableye cocky claw, tatsugiri attract customers surf;zwak/alternatief
Mega Evolution;Mega Evolution;MEG;;5;6239;0.1093;10;135;51;51;;;air balloon, buddy buddy poffin, energy switch, lillie s determination, mega signal, night stretcher, rare candy, switch, ultra ball, wally s compassion;abra, acerola s mischief, alakazam, bayleef, bewear, boss s orders, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace, clauncher;arven, basic darkness energy, basic fighting energy, basic fire energy, basic grass energy, basic lightning energy, basic metal energy, basic psychic energy, basic water energy, boss s orders ghetsis, bravery charm, bug catching set, counter catcher, counter gain;zwak/alternatief
Mega Evolution;Mega Evolution;MEG;;6;6425;0.103;12;135;91;119;;;air balloon, fighting gong, forest of vitality, iron defender, lillie s determination, mega signal, mystery garden, premium power pro, risky ruins, strange timepiece, surfing beach, wally s compassion;abra, acerola s mischief, alakazam, bayleef, bewear, boss s orders, buddy buddy poffin, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace;archaludon metal bridge iron blaster, arven s mabosstiff ex vigorous tackle boss headbutt, basic darkness energy, basic fighting energy, basic fire energy, basic grass energy, basic lightning energy, basic metal energy, basic psychic energy, basic water energy, boss s orders ghetsis, brilliant blender, budew itchy pollen, cinderace explosiveness turbo flare;zwak/alternatief
Mega Evolution;Mega Evolution;MEG;;7;6189;0.0886;9;135;65;92;;;air balloon, fighting gong, iron defender, lillie s determination, lt surge s bargain, night stretcher, premium power pro, repel, risky ruins;abra, acerola s mischief, alakazam, bayleef, bewear, boss s orders, buddy buddy poffin, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace;bulbasaur bind down, celebi traverse time solar cutter, cinderace explosiveness turbo flare, corphish vise grip take down, crawdaunt vise grip cutting riposte, croagunk smack, dialga beam chrono burst, exeggcute jam packed, exeggutor guard press stomping wood, fearow repeating drill, garganacl powerful a salt hammer in, gholdengo all you can grab speed attack, gimmighoul slap, grafaiai miraculous paint;zwak/alternatief
Mega Evolution;Mega Evolution;MEG;;8;6190;0.0886;9;135;65;92;;;acerola s mischief, buddy buddy poffin, forest of vitality, mega signal, mystery garden, rare candy, strange timepiece, surfing beach, wally s compassion;abra, air balloon, alakazam, bayleef, bewear, boss s orders, bulbasaur, buneary, celebi, centiskorch, chi yu, chikorita, cinderace, clauncher;abra teleportation attack, alakazam psychic draw powerful hand, bayleef push down, bewear knuckle punch hyper lariat, buneary charm skip, centiskorch coiling crush heat crawler, chi yu scorching earth, chikorita razor leaf, clauncher wave splash, clawitzer fall back to reload aqua launcher, delibird quick gift gentle slap, dhelmise earthen power, drizzile double stab, eiscue freezing headbutt tackle;zwak/alternatief
Scarlet & Violet;White Flare;WHT;;1;6223;0.0947;8;87;80;152;;;antique plume fossil, brave bangle, cheren, energy retrieval, harlequin, hilda, ignition energy, tool scrapper;accelgor, archen, archeops, basculin, blitzle, boldore, bouffalant ex, chandelure, cofagrigus, cottonee, deerling, deino, dewott, druddigon;accelgor acid spray, archen acrobatics, archeops ancient wing rock throw, basculin bite bared fangs, blitzle smash kick zap kick, boldore smack down power gem sv, braviary aerial ace speed wing, cofagrigus extended damagriiigus perplex, cottonee absorb sv, deerling rear kick sv, deino body slam darkness fang, dewott energized shell, druddigon shred ambush, ducklett firefighting wing attack;MOGELIJK - handmatig controleren
Scarlet & Violet;White Flare;WHT;;2;6131;0.0923;8;87;86;174;;;antique plume fossil, brave bangle, cheren, energy retrieval, harlequin, hilda, ignition energy, tool scrapper;accelgor, archen, archeops, basculin, blitzle, boldore, bouffalant ex, chandelure, cofagrigus, cottonee, deerling, deino, dewott, druddigon;accelgor acid spray, archen acrobatics, archeops ancient wing rock throw, basculin bite bared fangs, blitzle smash kick zap kick, boldore smack down power gem sv, bouffalant ex bouffer gold breaker, braviary aerial ace speed wing, cofagrigus extended damagriiigus perplex, cottonee absorb sv, deerling rear kick sv, deino body slam darkness fang, dewott energized shell, druddigon shred ambush;zwak/alternatief
