status;matchType;candidateCount;appKey;serie;set;abbr;kaartnr;kaartnaam;cmProductId;cmExpansionId;cmSetCode;cmSetName;cmNumber;cmName;cmRawName;price;foilTrendPrice;url
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|021|Frogadier;Mega Evolution;Chaos Rising;CRI;021;Frogadier;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|022|Mega Greninja ex;Mega Evolution;Chaos Rising;CRI;022;Mega Greninja ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|023|Bergmite;Mega Evolution;Chaos Rising;CRI;023;Bergmite;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|024|Avalugg;Mega Evolution;Chaos Rising;CRI;024;Avalugg;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|025|Wimpod;Mega Evolution;Chaos Rising;CRI;025;Wimpod;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|026|Golisopod;Mega Evolution;Chaos Rising;CRI;026;Golisopod;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|027|Mareep;Mega Evolution;Chaos Rising;CRI;027;Mareep;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|028|Flaaffy;Mega Evolution;Chaos Rising;CRI;028;Flaaffy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|029|Ampharos;Mega Evolution;Chaos Rising;CRI;029;Ampharos;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|030|Emolga;Mega Evolution;Chaos Rising;CRI;030;Emolga;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|031|Deoxys;Mega Evolution;Chaos Rising;CRI;031;Deoxys;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|032|Deoxys;Mega Evolution;Chaos Rising;CRI;032;Deoxys;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|033|Deoxys;Mega Evolution;Chaos Rising;CRI;033;Deoxys;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|034|Deoxys;Mega Evolution;Chaos Rising;CRI;034;Deoxys;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|035|Mega Floette ex;Mega Evolution;Chaos Rising;CRI;035;Mega Floette ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|036|Espurr;Mega Evolution;Chaos Rising;CRI;036;Espurr;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|037|Meowstic;Mega Evolution;Chaos Rising;CRI;037;Meowstic;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|038|Phantump;Mega Evolution;Chaos Rising;CRI;038;Phantump;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|039|Trevenant;Mega Evolution;Chaos Rising;CRI;039;Trevenant;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|040|Pumpkaboo;Mega Evolution;Chaos Rising;CRI;040;Pumpkaboo;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|041|Gourgeist ex;Mega Evolution;Chaos Rising;CRI;041;Gourgeist ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|042|Xerneas;Mega Evolution;Chaos Rising;CRI;042;Xerneas;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|043|Sudowoodo;Mega Evolution;Chaos Rising;CRI;043;Sudowoodo;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|044|Phanpy;Mega Evolution;Chaos Rising;CRI;044;Phanpy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|045|Donphan;Mega Evolution;Chaos Rising;CRI;045;Donphan;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|046|Baltoy;Mega Evolution;Chaos Rising;CRI;046;Baltoy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|047|Claydol;Mega Evolution;Chaos Rising;CRI;047;Claydol;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|048|Mega Gallade ex;Mega Evolution;Chaos Rising;CRI;048;Mega Gallade ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|049|Zubat;Mega Evolution;Chaos Rising;CRI;049;Zubat;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|050|Golbat;Mega Evolution;Chaos Rising;CRI;050;Golbat;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|051|Crobat;Mega Evolution;Chaos Rising;CRI;051;Crobat;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|052|Qwilfish;Mega Evolution;Chaos Rising;CRI;052;Qwilfish;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|053|Stunky;Mega Evolution;Chaos Rising;CRI;053;Stunky;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|054|Skuntank;Mega Evolution;Chaos Rising;CRI;054;Skuntank;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|055|Krookodile ex;Mega Evolution;Chaos Rising;CRI;055;Krookodile ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|056|Trubbish;Mega Evolution;Chaos Rising;CRI;056;Trubbish;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|057|Garbodor;Mega Evolution;Chaos Rising;CRI;057;Garbodor;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|058|Skrelp;Mega Evolution;Chaos Rising;CRI;058;Skrelp;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|059|Beldum;Mega Evolution;Chaos Rising;CRI;059;Beldum;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|060|Metang;Mega Evolution;Chaos Rising;CRI;060;Metang;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|061|Metagross;Mega Evolution;Chaos Rising;CRI;061;Metagross;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|062|Ferroseed;Mega Evolution;Chaos Rising;CRI;062;Ferroseed;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|063|Ferrothorn;Mega Evolution;Chaos Rising;CRI;063;Ferrothorn;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|064|Cobalion ex;Mega Evolution;Chaos Rising;CRI;064;Cobalion ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|065|Mega Dragalge ex;Mega Evolution;Chaos Rising;CRI;065;Mega Dragalge ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|066|Goomy;Mega Evolution;Chaos Rising;CRI;066;Goomy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|067|Sliggoo;Mega Evolution;Chaos Rising;CRI;067;Sliggoo;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|068|Goodra;Mega Evolution;Chaos Rising;CRI;068;Goodra;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|069|Tauros;Mega Evolution;Chaos Rising;CRI;069;Tauros;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|070|Patrat;Mega Evolution;Chaos Rising;CRI;070;Patrat;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|071|Watchog;Mega Evolution;Chaos Rising;CRI;071;Watchog;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|072|Minccino;Mega Evolution;Chaos Rising;CRI;072;Minccino;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|073|Cinccino ex;Mega Evolution;Chaos Rising;CRI;073;Cinccino ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|074|Adversity Policy;Mega Evolution;Chaos Rising;CRI;074;Adversity Policy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|075|Ange Floette;Mega Evolution;Chaos Rising;CRI;075;Ange Floette;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|076|AZ's Tranquility;Mega Evolution;Chaos Rising;CRI;076;AZ's Tranquility;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|077|Emma;Mega Evolution;Chaos Rising;CRI;077;Emma;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|078|Great Haul Net;Mega Evolution;Chaos Rising;CRI;078;Great Haul Net;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|079|Philippe;Mega Evolution;Chaos Rising;CRI;079;Philippe;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|080|Prism Tower;Mega Evolution;Chaos Rising;CRI;080;Prism Tower;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|081|Roxie's Performance;Mega Evolution;Chaos Rising;CRI;081;Roxie's Performance;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|082|Special Red Card;Mega Evolution;Chaos Rising;CRI;082;Special Red Card;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|083|Transformation Tome;Mega Evolution;Chaos Rising;CRI;083;Transformation Tome;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|084|Bubbly Water Energy;Mega Evolution;Chaos Rising;CRI;084;Bubbly Water Energy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|085|Magnetic Metal Energy;Mega Evolution;Chaos Rising;CRI;085;Magnetic Metal Energy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|086|Nitro Fire Energy;Mega Evolution;Chaos Rising;CRI;086;Nitro Fire Energy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|087|Chespin;Mega Evolution;Chaos Rising;CRI;087;Chespin;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|088|Froakie;Mega Evolution;Chaos Rising;CRI;088;Froakie;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|089|Frogadier;Mega Evolution;Chaos Rising;CRI;089;Frogadier;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|090|Ampharos;Mega Evolution;Chaos Rising;CRI;090;Ampharos;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|091|Xerneas;Mega Evolution;Chaos Rising;CRI;091;Xerneas;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|092|Claydol;Mega Evolution;Chaos Rising;CRI;092;Claydol;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|093|Crobat;Mega Evolution;Chaos Rising;CRI;093;Crobat;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|094|Metang;Mega Evolution;Chaos Rising;CRI;094;Metang;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|095|Sliggoo;Mega Evolution;Chaos Rising;CRI;095;Sliggoo;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|096|Tauros;Mega Evolution;Chaos Rising;CRI;096;Tauros;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|097|Watchog;Mega Evolution;Chaos Rising;CRI;097;Watchog;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|098|Beedrill ex;Mega Evolution;Chaos Rising;CRI;098;Beedrill ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|099|Mega Pyroar ex;Mega Evolution;Chaos Rising;CRI;099;Mega Pyroar ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|100|Mega Greninja ex;Mega Evolution;Chaos Rising;CRI;100;Mega Greninja ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|101|Mega Floette ex;Mega Evolution;Chaos Rising;CRI;101;Mega Floette ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|102|Gourgeist ex;Mega Evolution;Chaos Rising;CRI;102;Gourgeist ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|103|Cobalion ex;Mega Evolution;Chaos Rising;CRI;103;Cobalion ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|104|Mega Dragalge ex;Mega Evolution;Chaos Rising;CRI;104;Mega Dragalge ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|105|Cinccino ex;Mega Evolution;Chaos Rising;CRI;105;Cinccino ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|106|AZ's Tranquility;Mega Evolution;Chaos Rising;CRI;106;AZ's Tranquility;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|107|Emma;Mega Evolution;Chaos Rising;CRI;107;Emma;;;;;;;;;;
gekoppeld;mapped-expansion+unique-name;1;Mega Evolution|Chaos Rising|CRI|108|Energy Retrieval;Mega Evolution;Chaos Rising;CRI;108;Energy Retrieval;894368;6596;;;;Energy Retrieval;Energy Retrieval;;;https://www.cardmarket.com/en/Pokemon/Products?idProduct=894368
gekoppeld;mapped-expansion+unique-name;1;Mega Evolution|Chaos Rising|CRI|109|Jumbo Ice Cream;Mega Evolution;Chaos Rising;CRI;109;Jumbo Ice Cream;894371;6596;;;;Jumbo Ice Cream;Jumbo Ice Cream;;;https://www.cardmarket.com/en/Pokemon/Products?idProduct=894371
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|110|Philippe;Mega Evolution;Chaos Rising;CRI;110;Philippe;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|111|Prism Tower;Mega Evolution;Chaos Rising;CRI;111;Prism Tower;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|112|Roxie's Performance;Mega Evolution;Chaos Rising;CRI;112;Roxie's Performance;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|113|Special Red Card;Mega Evolution;Chaos Rising;CRI;113;Special Red Card;;;;;;;;;;
gekoppeld;mapped-expansion+unique-name;1;Mega Evolution|Chaos Rising|CRI|114|Surfing Beach;Mega Evolution;Chaos Rising;CRI;114;Surfing Beach;894386;6596;;;;Surfing Beach;Surfing Beach;;;https://www.cardmarket.com/en/Pokemon/Products?idProduct=894386
gekoppeld;mapped-expansion+unique-name;1;Mega Evolution|Chaos Rising|CRI|115|Tool Scrapper;Mega Evolution;Chaos Rising;CRI;115;Tool Scrapper;894374;6596;;;;Tool Scrapper;Tool Scrapper;;;https://www.cardmarket.com/en/Pokemon/Products?idProduct=894374
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|116|Mega Greninja ex;Mega Evolution;Chaos Rising;CRI;116;Mega Greninja ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|117|Mega Floette ex;Mega Evolution;Chaos Rising;CRI;117;Mega Floette ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|118|Mega Dragalge ex;Mega Evolution;Chaos Rising;CRI;118;Mega Dragalge ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|119|Cinccino ex;Mega Evolution;Chaos Rising;CRI;119;Cinccino ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|120|AZ's Tranquility;Mega Evolution;Chaos Rising;CRI;120;AZ's Tranquility;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|121|Roxie's Performance;Mega Evolution;Chaos Rising;CRI;121;Roxie's Performance;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|122|Mega Greninja ex;Mega Evolution;Chaos Rising;CRI;122;Mega Greninja ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|001|Spinarak;Mega Evolution;Perfect Order;POR;001;Spinarak;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|002|Ariados;Mega Evolution;Perfect Order;POR;002;Ariados;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|003|Shaymin;Mega Evolution;Perfect Order;POR;003;Shaymin;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|004|Snivy;Mega Evolution;Perfect Order;POR;004;Snivy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|005|Servine;Mega Evolution;Perfect Order;POR;005;Servine;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|006|Serperior;Mega Evolution;Perfect Order;POR;006;Serperior;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|007|Scatterbug;Mega Evolution;Perfect Order;POR;007;Scatterbug;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|008|Spewpa;Mega Evolution;Perfect Order;POR;008;Spewpa;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|009|Vivillon;Mega Evolution;Perfect Order;POR;009;Vivillon;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|010|Rowlet;Mega Evolution;Perfect Order;POR;010;Rowlet;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|011|Dartrix;Mega Evolution;Perfect Order;POR;011;Dartrix;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|012|Decidueye ex;Mega Evolution;Perfect Order;POR;012;Decidueye ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|013|Fletchinder;Mega Evolution;Perfect Order;POR;013;Fletchinder;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|014|Talonflame;Mega Evolution;Perfect Order;POR;014;Talonflame;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|015|Salandit;Mega Evolution;Perfect Order;POR;015;Salandit;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|016|Salazzle ex;Mega Evolution;Perfect Order;POR;016;Salazzle ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|017|Turtonator;Mega Evolution;Perfect Order;POR;017;Turtonator;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|018|Seel;Mega Evolution;Perfect Order;POR;018;Seel;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|019|Dewgong;Mega Evolution;Perfect Order;POR;019;Dewgong;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|020|Staryu;Mega Evolution;Perfect Order;POR;020;Staryu;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|021|Mega Starmie ex;Mega Evolution;Perfect Order;POR;021;Mega Starmie ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|022|Lapras ex;Mega Evolution;Perfect Order;POR;022;Lapras ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|023|Amaura;Mega Evolution;Perfect Order;POR;023;Amaura;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|024|Aurorus;Mega Evolution;Perfect Order;POR;024;Aurorus;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|025|Volcanion;Mega Evolution;Perfect Order;POR;025;Volcanion;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|026|Shinx;Mega Evolution;Perfect Order;POR;026;Shinx;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|027|Luxio;Mega Evolution;Perfect Order;POR;027;Luxio;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|028|Luxray;Mega Evolution;Perfect Order;POR;028;Luxray;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|029|Dedenne;Mega Evolution;Perfect Order;POR;029;Dedenne;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|030|Clefairy;Mega Evolution;Perfect Order;POR;030;Clefairy;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|031|Mega Clefable ex;Mega Evolution;Perfect Order;POR;031;Mega Clefable ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|032|Mawile;Mega Evolution;Perfect Order;POR;032;Mawile;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|033|Espurr;Mega Evolution;Perfect Order;POR;033;Espurr;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|034|Meowstic;Mega Evolution;Perfect Order;POR;034;Meowstic;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|035|Spritzee;Mega Evolution;Perfect Order;POR;035;Spritzee;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|036|Aromatisse;Mega Evolution;Perfect Order;POR;036;Aromatisse;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|037|Nosepass;Mega Evolution;Perfect Order;POR;037;Nosepass;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|038|Probopass;Mega Evolution;Perfect Order;POR;038;Probopass;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|039|Hippopotas;Mega Evolution;Perfect Order;POR;039;Hippopotas;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|040|Hippowdon;Mega Evolution;Perfect Order;POR;040;Hippowdon;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|041|Landorus;Mega Evolution;Perfect Order;POR;041;Landorus;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|042|Binacle;Mega Evolution;Perfect Order;POR;042;Binacle;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Perfect Order|POR|043|Barbaracle;Mega Evolution;Perfect Order;POR;043;Barbaracle;;;;;;;;;;
